Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity,Element,File_ID
234,324.0,781.0,11.4018,12.0,12.083,11.8283,184.82,127.88,117.68,3.6536,1,5
235,135.0,955.0,12.083,12.1655,12.53,12.2595,191.55,123.91,126.95,4.3102,1,5
236,330.0,268.0,11.1803,12.2066,13.0384,12.1418,189.72,118.44,120.96,3.8958,1,5
237,67.0,105.0,12.0,12.0416,12.2066,12.0827,188.79,131.63,124.99,3.9496,1,5
238,188.0,239.0,11.6619,12.083,13.0,12.2483,191.38,124.59,120.96,3.8798,1,5
239,732.0,788.0,11.0,12.2066,13.0384,12.0817,188.78,124.99,122.47,3.7733,3,5
240,210.0,897.0,11.0,12.2066,12.53,11.9122,186.13,124.99,118.61,3.7076,3,5
241,122.0,97.0,11.4018,12.0,12.53,11.9772,187.14,127.88,113.51,3.8408,3,5
242,150.0,1007.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,4.0671,1,5
243,295.0,245.0,11.6619,12.0,12.53,12.064,188.5,120.96,120.43,3.9383,1,5
244,311.0,1004.0,12.0,12.2066,13.0384,12.415,193.98,124.99,122.47,4.1005,1,5
245,521.0,427.0,11.6619,12.0,12.083,11.915,186.17,120.96,124.59,3.8077,3,5
246,191.0,928.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,3.8639,3,5
247,992.0,172.0,11.1803,11.6619,12.0416,11.6279,181.69,122.47,121.33,4.3051,3,5
248,20.0,403.0,11.6619,12.0,13.0,12.2206,190.95,120.96,126.42,4.535,1,5
249,207.0,191.0,11.0454,11.4018,12.53,11.659,182.17,122.68,123.8,4.0005,3,5
250,687.0,970.0,12.0416,12.8062,13.0,12.6159,197.12,123.9,117.38,3.9464,1,5
251,240.0,1001.0,11.6619,12.0,12.2066,11.9562,186.81,120.96,114.04,3.8548,1,5
252,107.0,477.0,10.8167,12.0,12.53,11.7822,184.1,123.69,117.7,4.1416,3,5
253,518.0,189.0,8.6023,12.083,12.7279,11.1378,174.03,120.02,80.54,4.5747,3,5
254,92.0,406.0,11.6619,12.0416,12.083,11.9288,186.39,116.2,124.59,4.0843,3,5
255,704.0,981.0,12.0416,12.2066,12.53,12.2594,191.55,129.76,113.85,3.9604,3,5
256,822.0,783.0,12.083,12.2066,13.0384,12.4427,194.42,120.56,118.84,3.912,1,5
257,740.0,1004.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,4.4813,1,5
258,801.0,484.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,3.5767,1,5
259,192.0,573.0,11.6619,12.2066,13.0,12.2895,192.02,114.04,120.96,3.8205,1,5
260,47.0,940.0,12.0416,12.083,12.2066,12.1104,189.22,119.21,120.23,4.0327,1,5
261,508.0,665.0,11.6619,12.0,12.083,11.915,186.17,120.96,124.59,3.9381,3,5
262,22.0,363.0,11.1803,11.6619,13.0384,11.9602,186.88,122.47,120.96,4.0404,3,5
263,325.0,761.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,3.9475,1,5
264,243.0,213.0,11.4018,12.0416,12.083,11.8421,185.03,123.11,117.68,4.0999,2,5
265,711.0,99.0,12.2066,12.53,13.0,12.5788,196.54,116.4,124.99,4.1147,1,5
266,238.0,706.0,11.6619,12.0,12.083,11.915,186.17,120.96,124.59,3.7815,3,5
267,87.0,75.0,11.4018,13.0,13.4164,12.6061,196.97,127.88,115.56,3.7612,1,5
268,193.0,886.0,11.4018,12.0416,12.53,11.9911,187.36,123.11,113.51,3.8814,3,5
